Country Name,Country Code,Year,GDP per capita(current US$)
Afghanistan,AFG,1978,
Albania,ALB,1978,
Algeria,DZA,1978,
Andorra,AND,1978,
Angola,AGO,1978,
Antigua and Barbuda,ATG,1978,
Argentina,ARG,1978,9409.508513
Armenia,ARM,1978,
Australia,AUS,1978,29379.12774
Austria,AUT,1978,3282.063044
Azerbaijan,AZE,1978,
Bahamas,BHS,1978,
Bahrain,BHR,1978,1374.820275
Bangladesh,BGD,1978,8264.438904
Barbados,BRB,1978,8173.329263
Belarus,BLR,1978,
Belgium,BEL,1978,148.8232325
Belize,BLZ,1978,10289.76842
Benin,BEN,1978,249.8029262
Bhutan,BTN,1978,223.879112
Bolivia,BOL,1978,158.3242552
Bosnia and Herzegovina,BIH,1978,
Botswana,BWA,1978,6925.988932
Brazil,BRA,1978,
Brunei,BRN,1978,
Bulgaria,BGR,1978,
Burkina Faso,BFA,1978,982.6043702
Burundi,BDI,1978,
Cabo Verde,CPV,1978,682.8010365
Cambodia,KHM,1978,1732.500122
Cameroon,CMR,1978,2197.899062
Canada,CAN,1978,
Central African Republic,CAF,1978,232.1723697
Chad,TCD,1978,695.2193369
Chile,CHL,1978,254.6240877
China,CHN,1978,9154.433253
Colombia,COL,1978,
Comoros,COM,1978,16282.19325
Congo,COG,1978,
Costa Rica,CRI,1978,1465.456056
Croatia,HRV,1978,156.6556169
Cuba,CUB,1978,
Cyprus,CYP,1978,581.989336
Czechia,CZE,1978,
Côte d'Ivoire,CIV,1978,
Democratic Republic of the Congo,COD,1978,932.3926951
Denmark,DNK,1978,
Djibouti,DJI,1978,
Dominica,DMA,1978,1555.837161
Dominican Republic,DOM,1978,
Ecuador,ECU,1978,1837.39107
Egypt,EGY,1978,
El Salvador,SLV,1978,
Equatorial Guinea,GNQ,1978,1929.399292
Eritrea,ERI,1978,
Estonia,EST,1978,9516.782832
Eswatini,SWZ,1978,
Ethiopia,ETH,1978,785.5758148
Fiji,FJI,1978,11817.62509
Finland,FIN,1978,868.3973718
France,FRA,1978,1505.942221
Gabon,GAB,1978,
Gambia,GMB,1978,
Georgia,GEO,1978,
Germany,DEU,1978,
Ghana,GHA,1978,
Greece,GRC,1978,1541.137604
Grenada,GRD,1978,
Guatemala,GTM,1978,
Guinea,GIN,1978,
Guinea-Bissau,GNB,1978,4353.327374
Guyana,GUY,1978,
Haiti,HTI,1978,178.3024806
Honduras,HND,1978,
Hungary,HUN,1978,
Iceland,ISL,1978,7629.495725
India,IND,1978,1354.811441
Indonesia,IDN,1978,9166.59012
Iran,IRN,1978,
Iraq,IRQ,1978,
Ireland,IRL,1978,3359.572681
Israel,ISR,1978,5976.938169
Italy,ITA,1978,
Jamaica,JAM,1978,325.5984767
Japan,JPN,1978,
Jordan,JOR,1978,1657.963932
Kazakhstan,KAZ,1978,
Kenya,KEN,1978,402.7775257
Kiribati,KIR,1978,
Kuwait,KWT,1978,4629.339377
Kyrgyzstan,KGZ,1978,917.1111188
Laos,LAO,1978,
Latvia,LVA,1978,925.1800265
Lebanon,LBN,1978,
Lesotho,LSO,1978,663.2085861
Liberia,LBR,1978,
Libya,LBY,1978,
Liechtenstein,LIE,1978,682.8341934
Lithuania,LTU,1978,
Luxembourg,LUX,1978,
Madagascar,MDG,1978,180.3212539
Malawi,MWI,1978,1617.878534
Malaysia,MYS,1978,
Maldives,MDV,1978,
Mali,MLI,1978,
Malta,MLT,1978,
Marshall Islands,MHL,1978,362.4837798
Mauritania,MRT,1978,
Mauritius,MUS,1978,
Mexico,MEX,1978,209.3890636
Micronesia,FSM,1978,
Moldova,MDA,1978,4399.986805
Monaco,MCO,1978,
Mongolia,MNG,1978,1863.217612
Montenegro,MNE,1978,11629.51587
Morocco,MAR,1978,4797.096723
Mozambique,MOZ,1978,5623.429176
Myanmar,MMR,1978,1262.403272
Namibia,NAM,1978,1248.90326
Nauru,NRU,1978,9012.136035
Nepal,NPL,1978,
Netherlands,NLD,1978,355.1419822
New Zealand,NZL,1978,
Nicaragua,NIC,1978,147.1015734
Niger,NER,1978,610.7838526
Nigeria,NGA,1978,
North Korea,PRK,1978,
North Macedonia,MKD,1978,11567.06537
Norway,NOR,1978,
Oman,OMN,1978,
Pakistan,PAK,1978,
Palau,PLW,1978,394.4680783
Palestine,PSE,1978,7251.837542
Panama,PAN,1978,
Papua New Guinea,PNG,1978,
Paraguay,PRY,1978,
Peru,PER,1978,
Philippines,PHL,1978,17456.93095
Poland,POL,1978,190.9964646
