Country Name,Country Code,Year,GDP per capita(current US$)
Afghanistan,AFG,2007,376.223152
Albania,ALB,2007,3743.055299
Algeria,DZA,2007,4167.451699
Andorra,AND,2007,48336.25483
Angola,AGO,2007,3515.05679
Antigua and Barbuda,ATG,2007,18204.5124
Argentina,ARG,2007,7185.251551
Armenia,ARM,2007,2962.702346
Australia,AUS,2007,41128.24766
Austria,AUT,2007,46622.96229
Azerbaijan,AZE,2007,3851.330152
"Bahamas, The",BHS,2007,30051.84896
Bahrain,BHR,2007,20908.40425
Bangladesh,BGD,2007,537.9554928
Barbados,BRB,2007,17235.43964
Belarus,BLR,2007,4735.481076
Belgium,BEL,2007,44319.16545
Belize,BLZ,2007,5762.210233
Benin,BEN,2007,912.3382472
Bhutan,BTN,2007,1850.415704
Bolivia,BOL,2007,1354.549059
Bosnia and Herzegovina,BIH,2007,3931.489487
Botswana,BWA,2007,5529.125746
Brazil,BRA,2007,7409.690038
Brunei Darussalam,BRN,2007,36217.32907
Bulgaria,BGR,2007,5888.570814
Burkina Faso,BFA,2007,514.6844512
Burundi,BDI,2007,166.1627449
Cabo Verde,CPV,2007,3324.576752
Cambodia,KHM,2007,731.6922951
Cameroon,CMR,2007,1325.672482
Canada,CAN,2007,44660.08389
Central African Republic,CAF,2007,380.8870488
Chad,TCD,2007,980.4835315
Chile,CHL,2007,10346.41382
China,CHN,2007,2734.727099
Colombia,COL,2007,4769.926147
Comoros,COM,2007,1289.736311
"Congo, Dem. Rep.",COD,2007,294.1016151
"Congo, Rep.",COG,2007,2206.471019
Costa Rica,CRI,2007,6137.711999
Cote d'Ivoire,CIV,2007,1367.538177
Croatia,HRV,2007,13755.83211
Cuba,CUB,2007,4807.43889
Cyprus,CYP,2007,31244.87891
Czechia,CZE,2007,18452.65328
Denmark,DNK,2007,58631.65664
Djibouti,DJI,2007,969.5732202
Dominica,DMA,2007,6459.035037
Dominican Republic,DOM,2007,4649.645589
Ecuador,ECU,2007,3478.924888
"Egypt, Arab Rep.",EGY,2007,1547.741707
El Salvador,SLV,2007,2830.656938
Equatorial Guinea,GNQ,2007,12616.95329
Eritrea,ERI,2007,480.4476237
Estonia,EST,2007,16745.4308
Eswatini,SWZ,2007,3109.110976
Ethiopia,ETH,2007,237.146256
Fiji,FJI,2007,3762.746928
Finland,FIN,2007,48473.02401
France,FRA,2007,41486.19078
Gabon,GAB,2007,8003.542897
"Gambia, The",GMB,2007,724.7264072
Georgia,GEO,2007,2635.366503
Germany,DEU,2007,42350.92172
Ghana,GHA,2007,1050.124615
Greece,GRC,2007,28440.76253
Grenada,GRD,2007,6864.548168
Guatemala,GTM,2007,2458.815739
Guinea,GIN,2007,650.1485753
Guinea-Bissau,GNB,2007,519.0697898
Guyana,GUY,2007,3608.286852
Haiti,HTI,2007,984.5669834
Honduras,HND,2007,1577.737892
Hungary,HUN,2007,13934.60546
Iceland,ISL,2007,70483.01172
India,IND,2007,1021.887077
Indonesia,IDN,2007,1823.219763
"Iran, Islamic Rep.",IRN,2007,4687.991663
Iraq,IRQ,2007,3128.990103
Ireland,IRL,2007,61396.41746
Israel,ISR,2007,25721.25941
Italy,ITA,2007,37826.17546
Jamaica,JAM,2007,4716.486125
Japan,JPN,2007,35779.02454
Jordan,JOR,2007,2506.205995
Kazakhstan,KAZ,2007,6449.439311
Kenya,KEN,2007,840.2014395
Kiribati,KIR,2007,1352.57814
"Korea, Dem. People's Rep.",PRK,2007,
"Korea, Rep.",KOR,2007,25078.4854
Kuwait,KWT,2007,45709.41329
Kyrgyz Republic,KGZ,2007,721.7715775
Lao PDR,LAO,2007,697.3230137
Latvia,LVA,2007,13370.97895
Lebanon,LBN,2007,5125.2581
Lesotho,LSO,2007,861.1884209
Liberia,LBR,2007,374.2113081
Libya,LBY,2007,11144.94484
Liechtenstein,LIE,2007,130492.5953
Lithuania,LTU,2007,12295.12128
Luxembourg,LUX,2007,107475.3203
Madagascar,MDG,2007,419.5480014
Malawi,MWI,2007,475.1802617
Malaysia,MYS,2007,7168.930319
Maldives,MDV,2007,5758.102869
Mali,MLI,2007,670.853395
Malta,MLT,2007,19444.1742
Marshall Islands,MHL,2007,2892.28404
Mauritania,MRT,2007,1405.150162
Mauritius,MUS,2007,6677.349624
Mexico,MEX,2007,10134.33271
"Micronesia, Fed. Sts.",FSM,2007,2293.513417
Moldova,MDA,2007,1531.216186
Monaco,MCO,2007,184558.5566
Mongolia,MNG,2007,1627.687877
Montenegro,MNE,2007,5971.84639
Morocco,MAR,2007,2755.585938
Mozambique,MOZ,2007,507.8749239
Myanmar,MMR,2007,419.3757807
Namibia,NAM,2007,4379.043137
Nauru,NRU,2007,2272.152913
Nepal,NPL,2007,385.4497677
Netherlands,NLD,2007,52100.79963
New Zealand,NZL,2007,32479.98174
Nicaragua,NIC,2007,1350.381458
Niger,NER,2007,387.1680659
Nigeria,NGA,2007,1815.526975
North Macedonia,MKD,2007,4204.113288
Norway,NOR,2007,85502.26771
Oman,OMN,2007,18792.65377
Pakistan,PAK,2007,998.0901142
Palau,PLW,2007,10402.53675
Panama,PAN,2007,6317.817305
Papua New Guinea,PNG,2007,1370.753416
Paraguay,PRY,2007,3211.936217
Peru,PER,2007,3581.089308
Philippines,PHL,2007,1712.655433
Poland,POL,2007,11272.52937
Portugal,PRT,2007,22811.05648
Qatar,QAT,2007,65954.34195
Romania,ROU,2007,8360.337759
Russian Federation,RUS,2007,9101.239258
Rwanda,RWA,2007,426.2341835
Samoa,WSM,2007,3038.619041
San Marino,SMR,2007,70124.46344
Sao Tome and Principe,STP,2007,878.8857919
Saudi Arabia,SAU,2007,18596.15026
Senegal,SEN,2007,1188.938778
Serbia,SRB,2007,6081.087657
Seychelles,SYC,2007,12669.30267
Sierra Leone,SLE,2007,631.8899263
Singapore,SGP,2007,39432.88602
Slovak Republic,SVK,2007,16110.48173
Slovenia,SVN,2007,23725.1596
Solomon Islands,SLB,2007,1390.14871
"Somalia, Fed. Rep.",SOM,2007,479.6356281
South Africa,ZAF,2007,6591.85536
South Sudan,SSD,2007,
Spain,ESP,2007,32652.01559
Sri Lanka,LKA,2007,1578.634511
St. Kitts and Nevis,KNA,2007,14757.95798
St. Lucia,LCA,2007,7964.382115
St. Vincent and the Grenadines,VCT,2007,6398.191235
Sudan,SDN,2007,1444.372192
Suriname,SUR,2007,5530.176156
Sweden,SWE,2007,53568.30578
Switzerland,CHE,2007,64989.15533
Syrian Arab Republic,SYR,2007,1937.611386
Tajikistan,TJK,2007,516.9972106
Tanzania,TZA,2007,543.1983032
Thailand,THA,2007,3918.528174
Timor-Leste,TLS,2007,540.1546305
Togo,TGO,2007,607.5878867
Tonga,TON,2007,2797.065601
Trinidad and Tobago,TTO,2007,16606.67536
Tunisia,TUN,2007,3726.916729
Turkiye,TUR,2007,9766.917345
Turkmenistan,TKM,2007,2414.96072
Tuvalu,TUV,2007,2794.163101
Uganda,UGA,2007,401.3891309
Ukraine,UKR,2007,3160.327637
United Arab Emirates,ARE,2007,45854.73252
