Country Name,Country Code,Year,Value
Afghanistan,AFG,2001,
Albania,ALB,2001,
Algeria,DZA,2001,
Andorra,AND,2001,
Angola,AGO,2001,
Antigua and Barbuda,ATG,2001,
Argentina,ARG,2001,
Armenia,ARM,2001,
Australia,AUS,2001,
Austria,AUT,2001,
Azerbaijan,AZE,2001,4.4
Bahamas,BHS,2001,
Bahrain,BHR,2001,
Bangladesh,BGD,2001,0.9
Barbados,BRB,2001,
Belarus,BLR,2001,
Belgium,BEL,2001,
Belize,BLZ,2001,
Benin,BEN,2001,3.1
Bhutan,BTN,2001,
Bolivia,BOL,2001,
Bosnia and Herzegovina,BIH,2001,
Botswana,BWA,2001,
Brazil,BRA,2001,
Brunei,BRN,2001,
Bulgaria,BGR,2001,
Burkina Faso,BFA,2001,
Burundi,BDI,2001,
Cabo Verde,CPV,2001,
Cambodia,KHM,2001,
Cameroon,CMR,2001,
Canada,CAN,2001,
Central African Republic,CAF,2001,
Chad,TCD,2001,
Chile,CHL,2001,12.9
China,CHN,2001,
Colombia,COL,2001,
Comoros,COM,2001,
Congo,COG,2001,
Costa Rica,CRI,2001,
Croatia,HRV,2001,
Cuba,CUB,2001,
Cyprus,CYP,2001,
Czechia,CZE,2001,4.6
Côte d'Ivoire,CIV,2001,
Democratic Republic of the Congo,COD,2001,6.7
Denmark,DNK,2001,
Djibouti,DJI,2001,
Dominica,DMA,2001,
Dominican Republic,DOM,2001,
Ecuador,ECU,2001,
Egypt,EGY,2001,
El Salvador,SLV,2001,
Equatorial Guinea,GNQ,2001,
Eritrea,ERI,2001,
Estonia,EST,2001,
Eswatini,SWZ,2001,
Ethiopia,ETH,2001,
Fiji,FJI,2001,
Finland,FIN,2001,
France,FRA,2001,
Gabon,GAB,2001,
Gambia,GMB,2001,
Georgia,GEO,2001,
Germany,DEU,2001,
Ghana,GHA,2001,
Greece,GRC,2001,
Grenada,GRD,2001,
Guatemala,GTM,2001,
Guinea,GIN,2001,
Guinea-Bissau,GNB,2001,
Guyana,GUY,2001,
Haiti,HTI,2001,
Honduras,HND,2001,3.0
Hungary,HUN,2001,
Iceland,ISL,2001,
India,IND,2001,
Indonesia,IDN,2001,1.5
Iran,IRN,2001,
Iraq,IRQ,2001,
Ireland,IRL,2001,
Israel,ISR,2001,
Italy,ITA,2001,
Jamaica,JAM,2001,5.8
Japan,JPN,2001,
Jordan,JOR,2001,
Kazakhstan,KAZ,2001,
Kenya,KEN,2001,
Kiribati,KIR,2001,
Kuwait,KWT,2001,11.1
Kyrgyzstan,KGZ,2001,
Laos,LAO,2001,
Latvia,LVA,2001,
Lebanon,LBN,2001,
Lesotho,LSO,2001,
Liberia,LBR,2001,
Libya,LBY,2001,
Liechtenstein,LIE,2001,
Lithuania,LTU,2001,
Luxembourg,LUX,2001,
Madagascar,MDG,2001,
Malawi,MWI,2001,
Malaysia,MYS,2001,
Maldives,MDV,2001,3.9
Mali,MLI,2001,3.1
Malta,MLT,2001,
Marshall Islands,MHL,2001,
Mauritania,MRT,2001,
Mauritius,MUS,2001,
Mexico,MEX,2001,
Micronesia,FSM,2001,
Moldova,MDA,2001,
Monaco,MCO,2001,
Mongolia,MNG,2001,
Montenegro,MNE,2001,
Morocco,MAR,2001,
Mozambique,MOZ,2001,8.8
Myanmar,MMR,2001,
Namibia,NAM,2001,
Nauru,NRU,2001,
Nepal,NPL,2001,0.7
Netherlands,NLD,2001,
New Zealand,NZL,2001,
Nicaragua,NIC,2001,7.2
Niger,NER,2001,
Nigeria,NGA,2001,
North Korea,PRK,2001,
North Macedonia,MKD,2001,
Norway,NOR,2001,
Oman,OMN,2001,
Pakistan,PAK,2001,4.8
Palau,PLW,2001,
Palestine,PSE,2001,
Panama,PAN,2001,
Papua New Guinea,PNG,2001,
Paraguay,PRY,2001,
Peru,PER,2001,9.2
Philippines,PHL,2001,
Poland,POL,2001,
Portugal,PRT,2001,
Qatar,QAT,2001,
Romania,ROU,2001,9.1
Russia,RUS,2001,15.1
Rwanda,RWA,2001,
Saint Kitts and Nevis,KNA,2001,
Saint Lucia,LCA,2001,
Saint Vincent and the Grenadines,VCT,2001,
Samoa,WSM,2001,
San Marino,SMR,2001,
Sao Tome and Principe,STP,2001,
Saudi Arabia,SAU,2001,
Senegal,SEN,2001,
Serbia,SRB,2001,
Seychelles,SYC,2001,
Sierra Leone,SLE,2001,
Singapore,SGP,2001,
Slovakia,SVK,2001,
Slovenia,SVN,2001,
Solomon Islands,SLB,2001,
Somalia,SOM,2001,
South Africa,ZAF,2001,
South Korea,KOR,2001,
South Sudan,SSD,2001,
Spain,ESP,2001,
Sri Lanka,LKA,2001,
Sudan,SDN,2001,
Suriname,SUR,2001,
Sweden,SWE,2001,
Switzerland,CHE,2001,
Syria,SYR,2001,19.7
Tajikistan,TJK,2001,
Tanzania,TZA,2001,
Thailand,THA,2001,
Timor-Leste,TLS,2001,
Togo,TGO,2001,
Tonga,TON,2001,
Trinidad and Tobago,TTO,2001,
Tunisia,TUN,2001,
Turkmenistan,TKM,2001,
Tuvalu,TUV,2001,
Türkiye,TUR,2001,
Uganda,UGA,2001,
Ukraine,UKR,2001,
United Arab Emirates,ARE,2001,
United Kingdom,GBR,2001,
United States,USA,2001,
Uruguay,URY,2001,
Uzbekistan,UZB,2001,
Vanuatu,VUT,2001,
Vatican City,VAT,2001,
Venezuela,VEN,2001,5.4
Vietnam,VNM,2001,
Yemen,YEM,2001,
Zambia,ZMB,2001,
Zimbabwe,ZWE,2001,
