Country Name,Country Code,Year,Prevalence of Undernourishment
Afghanistan,AFG,2019,25.1
Albania,ALB,2019,4.3
Algeria,DZA,2019,2.5
Andorra,AND,2019,
Angola,AGO,2019,18.2
Antigua and Barbuda,ATG,2019,
Argentina,ARG,2019,3.6
Armenia,ARM,2019,2.5
Australia,AUS,2019,2.5
Austria,AUT,2019,2.5
Azerbaijan,AZE,2019,2.5
Bahamas,BHS,2019,
Bahrain,BHR,2019,
Bangladesh,BGD,2019,10.9
Barbados,BRB,2019,2.8
Belarus,BLR,2019,2.5
Belgium,BEL,2019,2.5
Belize,BLZ,2019,5.0
Benin,BEN,2019,11.8
Bhutan,BTN,2019,
Bolivia,BOL,2019,13.6
Bosnia and Herzegovina,BIH,2019,2.5
Botswana,BWA,2019,22.8
Brazil,BRA,2019,2.5
Brunei,BRN,2019,
Bulgaria,BGR,2019,3.0
Burkina Faso,BFA,2019,14.3
Burundi,BDI,2019,
Cabo Verde,CPV,2019,13.4
Cambodia,KHM,2019,5.4
Cameroon,CMR,2019,6.1
Canada,CAN,2019,2.5
Central African Republic,CAF,2019,25.2
Chad,TCD,2019,29.8
Chile,CHL,2019,2.7
China,CHN,2019,2.5
Colombia,COL,2019,4.1
Comoros,COM,2019,13.5
Congo,COG,2019,29.0
Costa Rica,CRI,2019,2.5
Croatia,HRV,2019,2.5
Cuba,CUB,2019,
Cyprus,CYP,2019,2.5
Czechia,CZE,2019,2.5
Côte d'Ivoire,CIV,2019,9.4
Democratic Republic of the Congo,COD,2019,34.1
Denmark,DNK,2019,2.5
Djibouti,DJI,2019,11.9
Dominica,DMA,2019,5.5
Dominican Republic,DOM,2019,6.1
Ecuador,ECU,2019,12.7
Egypt,EGY,2019,6.6
El Salvador,SLV,2019,6.8
Equatorial Guinea,GNQ,2019,
Eritrea,ERI,2019,
Estonia,EST,2019,2.5
Eswatini,SWZ,2019,11.7
Ethiopia,ETH,2019,18.5
Fiji,FJI,2019,5.6
Finland,FIN,2019,2.5
France,FRA,2019,2.5
Gabon,GAB,2019,18.6
Gambia,GMB,2019,16.8
Georgia,GEO,2019,5.3
Germany,DEU,2019,2.5
Ghana,GHA,2019,6.6
Greece,GRC,2019,2.5
Grenada,GRD,2019,
Guatemala,GTM,2019,14.0
Guinea,GIN,2019,12.5
Guinea-Bissau,GNB,2019,13.1
Guyana,GUY,2019,2.7
Haiti,HTI,2019,42.6
Honduras,HND,2019,13.5
Hungary,HUN,2019,2.5
Iceland,ISL,2019,2.5
India,IND,2019,11.8
Indonesia,IDN,2019,6.4
Iran,IRN,2019,7.7
Iraq,IRQ,2019,15.4
Ireland,IRL,2019,2.5
Israel,ISR,2019,2.5
Italy,ITA,2019,2.5
Jamaica,JAM,2019,6.7
Japan,JPN,2019,
Jordan,JOR,2019,12.8
Kazakhstan,KAZ,2019,2.5
Kenya,KEN,2019,23.7
Kiribati,KIR,2019,4.1
Kuwait,KWT,2019,2.5
Kyrgyzstan,KGZ,2019,4.9
Laos,LAO,2019,
Latvia,LVA,2019,2.5
Lebanon,LBN,2019,7.1
Lesotho,LSO,2019,
Liberia,LBR,2019,36.6
Libya,LBY,2019,13.2
Liechtenstein,LIE,2019,
Lithuania,LTU,2019,2.5
Luxembourg,LUX,2019,2.5
Madagascar,MDG,2019,38.9
Malawi,MWI,2019,19.3
Malaysia,MYS,2019,2.8
Maldives,MDV,2019,
Mali,MLI,2019,4.8
Malta,MLT,2019,2.5
Marshall Islands,MHL,2019,
Mauritania,MRT,2019,6.6
Mauritius,MUS,2019,7.6
Mexico,MEX,2019,3.4
Micronesia,FSM,2019,
Moldova,MDA,2019,2.5
Monaco,MCO,2019,
Mongolia,MNG,2019,5.1
Montenegro,MNE,2019,2.5
Morocco,MAR,2019,4.1
Mozambique,MOZ,2019,28.3
Myanmar,MMR,2019,3.2
Namibia,NAM,2019,18.9
Nauru,NRU,2019,
Nepal,NPL,2019,4.6
Netherlands,NLD,2019,2.5
New Zealand,NZL,2019,2.5
Nicaragua,NIC,2019,15.7
Niger,NER,2019,10.1
Nigeria,NGA,2019,14.3
North Korea,PRK,2019,
North Macedonia,MKD,2019,2.8
Norway,NOR,2019,2.5
Oman,OMN,2019,5.9
Pakistan,PAK,2019,12.9
Palau,PLW,2019,
Palestine,PSE,2019,
Panama,PAN,2019,4.5
Papua New Guinea,PNG,2019,28.2
