Country,Country Code,Year,Prevalence of stunting
Sierra Leone,SLE,2006,
Singapore,SGP,2006,
Slovakia,SVK,2006,
Slovenia,SVN,2006,
Solomon Islands,SLB,2006,
Somalia,,2006,
South Africa,ZAF,2006,
South Korea,KOR,2006,
South Sudan,SSD,2006,36.2
Spain,ESP,2006,
Sri Lanka,LKA,2006,
Sudan,SDN,2006,38.3
Suriname,SUR,2006,10.6
Sweden,SWE,2006,
Switzerland,CHE,2006,
Syria,SYR,2006,28.7
Tajikistan,TJK,2006,
Tanzania,TZA,2006,
Thailand,THA,2006,15.7
Timor-Leste,TLS,2006,
Togo,TGO,2006,29.9
Tonga,TON,2006,
Trinidad and Tobago,TTO,2006,
Tunisia,TUN,2006,9.0
Turkmenistan,TKM,2006,18.9
Tuvalu,TUV,2006,
Türkiye,TUR,2006,
Uganda,UGA,2006,38.4
Ukraine,UKR,2006,
United Arab Emirates,ARE,2006,
United Kingdom,GBR,2006,
United States,USA,2006,3.1
Uruguay,URY,2006,
Uzbekistan,UZB,2006,19.6
Vanuatu,VUT,2006,
Vatican City,,2006,
Venezuela,VEN,2006,16.2
Vietnam,VNM,2006,31.7
Yemen,YEM,2006,
Zambia,ZMB,2006,
Zimbabwe,ZWE,2006,
