Country Name,Country Code,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,AFG,2019.0,2223.1,60.84,41.79
Albania,ALB,2019.0,3361.19,117.96,114.73
Algeria,DZA,2019.0,3431.1,94.65,95.67
Andorra,AND,,,,
Angola,AGO,2019.0,2425.25,48.67,54.49
Antigua and Barbuda,ATG,2019.0,2465.2,93.5,93.17
Argentina,ARG,2019.0,3253.2,114.18,126.63
Armenia,ARM,2019.0,3136.93,104.53,111.55
Australia,AUS,2019.0,3485.34,121.63,159.91
Austria,AUT,2019.0,3822.84,110.32,184.34
Azerbaijan,AZE,2019.0,3281.8,98.95,87.93
"Bahamas, The",BHS,,,,
Bahrain,BHR,2019.0,3489.08,109.28,123.8
Bangladesh,BGD,2019.0,2522.89,62.73,35.07
Barbados,BRB,2019.0,3124.84,106.69,93.63
Belarus,BLR,2019.0,3373.82,112.75,134.91
Belgium,BEL,2019.0,3855.36,106.58,178.09
Belize,BLZ,2019.0,2834.43,80.76,98.26
Benin,BEN,,,,
Bhutan,BTN,2019.0,3234.78,75.26,86.96
Bolivia,BOL,,,,
Bosnia and Herzegovina,BIH,2019.0,3356.36,109.88,96.2
Botswana,BWA,2019.0,2577.1,64.81,61.48
Brazil,BRA,2019.0,3350.08,103.59,134.92
Brunei Darussalam,BRN,,,,
Bulgaria,BGR,2019.0,2902.75,88.98,118.76
Burkina Faso,BFA,2019.0,2628.08,93.43,61.46
Burundi,BDI,,,,
Cabo Verde,CPV,2019.0,2783.47,85.3,74.31
Cambodia,KHM,2019.0,2716.55,61.34,34.35
Cameroon,CMR,2019.0,2865.11,73.93,59.02
Canada,CAN,2019.0,3557.96,115.62,155.78
Central African Republic,CAF,,,,
Chad,TCD,,,,
Chile,CHL,2019.0,3022.55,103.69,89.24
China,CHN,2019.0,3301.99,121.11,91.12
Colombia,COL,2019.0,3063.84,81.92,94.25
Comoros,COM,2019.0,2499.55,61.75,63.58
"Congo, Dem. Rep.",COD,,,,
"Congo, Rep.",COG,,,,
Costa Rica,CRI,2019.0,3071.57,89.34,110.21
Cote d'Ivoire,CIV,,,,
Croatia,HRV,2019.0,3297.85,106.73,124.5
Cuba,CUB,2019.0,3385.12,95.29,81.44
Cyprus,CYP,2019.0,2906.57,101.09,110.58
Czechia,CZE,2019.0,3338.98,95.24,152.33
Denmark,DNK,2019.0,3763.79,124.11,171.04
Djibouti,DJI,2019.0,2751.36,71.88,63.01
Dominica,DMA,,,,
Dominican Republic,DOM,2019.0,3055.38,78.47,107.69
Ecuador,ECU,2019.0,2508.72,66.85,93.48
"Egypt, Arab Rep.",EGY,,,,
El Salvador,SLV,2019.0,2848.17,85.54,67.28
Equatorial Guinea,GNQ,,,,
Eritrea,ERI,,,,
Estonia,EST,2019.0,3250.53,110.48,143.38
Eswatini,SWZ,2019.0,2461.18,58.61,54.46
Ethiopia,ETH,2019.0,2469.31,79.73,33.38
Fiji,FJI,2019.0,2841.14,81.96,85.57
Finland,FIN,2019.0,3341.73,121.83,128.98
France,FRA,2019.0,3459.25,118.39,149.09
Gabon,GAB,2019.0,2646.56,86.88,58.55
"Gambia, The",GMB,,,,
Georgia,GEO,2019.0,3020.82,87.02,85.54
Germany,DEU,2019.0,3616.84,110.33,165.12
Ghana,GHA,2019.0,3036.32,65.11,42.42
Greece,GRC,2019.0,3374.7,106.34,163.27
Grenada,GRD,2019.0,2630.45,94.79,97.39
Guatemala,GTM,2019.0,2636.18,70.54,63.44
Guinea,GIN,2019.0,2779.17,56.23,72.43
Guinea-Bissau,GNB,2019.0,2513.94,52.14,76.81
Guyana,GUY,2019.0,3068.34,98.86,65.62
Haiti,HTI,2019.0,2123.91,47.98,45.43
Honduras,HND,2019.0,2637.19,61.66,85.01
Hungary,HUN,2019.0,3309.82,94.29,142.84
Iceland,ISL,2019.0,3683.31,152.61,166.31
India,IND,2019.0,2527.73,67.68,59.13
Indonesia,IDN,2019.0,2898.94,80.31,69.39
"Iran, Islamic Rep.",IRN,,,,
Iraq,IRQ,2019.0,2685.04,72.28,68.57
Ireland,IRL,2019.0,3966.57,128.56,146.39
Israel,ISR,2019.0,3754.5,130.53,161.41
Italy,ITA,2019.0,3623.81,114.86,156.23
Jamaica,JAM,2019.0,2906.29,90.91,85.32
Japan,JPN,,,,
Jordan,JOR,2019.0,2593.93,68.65,91.96
Kazakhstan,KAZ,2019.0,3059.13,97.2,120.05
Kenya,KEN,2019.0,2289.89,60.22,49.08
Kiribati,KIR,2019.0,3131.79,82.47,129.85
"Korea, Dem. People's Rep.",PRK,,,,
"Korea, Rep.",KOR,,,,
Kuwait,KWT,2019.0,3460.64,111.27,110.09
Kyrgyz Republic,KGZ,,,,
Lao PDR,LAO,,,,
Latvia,LVA,2019.0,3269.64,108.62,135.56
