Country Name,Country Code,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,AFG,2023.0,2314.63,62.58,43.33
Albania,ALB,2023.0,3237.8,113.95,115.45
Algeria,DZA,2023.0,3396.01,93.59,101.81
Andorra,AND,,,,
Angola,AGO,2023.0,2399.33,47.47,49.54
Antigua and Barbuda,ATG,2023.0,2544.28,98.12,104.68
Argentina,ARG,2023.0,3360.43,121.54,136.75
Armenia,ARM,2023.0,3129.25,103.18,108.94
Australia,AUS,2023.0,3561.93,124.99,159.07
Austria,AUT,2023.0,3755.86,108.46,186.87
Azerbaijan,AZE,2023.0,3339.19,101.95,94.86
"Bahamas, The",BHS,,,,
Bahrain,BHR,2023.0,3422.85,99.79,135.25
Bangladesh,BGD,2023.0,2587.65,67.99,42.76
Barbados,BRB,2023.0,3117.97,108.64,102.35
Belarus,BLR,2023.0,3396.26,127.95,125.35
Belgium,BEL,2023.0,3921.31,120.26,170.09
Belize,BLZ,2023.0,2831.81,88.63,99.47
Benin,BEN,,,,
Bhutan,BTN,2023.0,3106.71,71.76,80.55
Bolivia,BOL,,,,
Bosnia and Herzegovina,BIH,2023.0,3457.78,113.72,96.7
Botswana,BWA,2023.0,2713.86,73.01,65.14
Brazil,BRA,2023.0,3423.45,106.5,141.32
Brunei Darussalam,BRN,,,,
Bulgaria,BGR,2023.0,2999.6,86.49,139.66
Burkina Faso,BFA,2023.0,2790.88,92.56,64.09
Burundi,BDI,,,,
Cabo Verde,CPV,2023.0,2793.61,82.7,84.28
Cambodia,KHM,2023.0,2642.91,64.43,34.63
Cameroon,CMR,2023.0,2900.97,71.3,60.54
Canada,CAN,2023.0,3590.04,112.92,163.09
Central African Republic,CAF,,,,
Chad,TCD,,,,
Chile,CHL,2023.0,3057.47,105.13,94.59
China,CHN,2023.0,3513.91,130.99,100.89
Colombia,COL,2023.0,3126.32,83.15,103.58
Comoros,COM,2023.0,2390.16,63.04,58.87
"Congo, Dem. Rep.",COD,,,,
"Congo, Rep.",COG,,,,
Costa Rica,CRI,2023.0,3061.13,91.85,107.82
Cote d'Ivoire,CIV,,,,
Croatia,HRV,2023.0,3447.57,115.3,139.73
Cuba,CUB,,,,
Cyprus,CYP,2023.0,2876.46,98.73,109.36
Czechia,CZE,2023.0,3384.27,96.08,159.05
Denmark,DNK,2023.0,3733.87,126.33,150.78
Djibouti,DJI,2023.0,2720.97,74.87,67.34
Dominica,DMA,,,,
Dominican Republic,DOM,2023.0,3313.44,90.04,115.99
Ecuador,ECU,2023.0,2620.91,69.6,104.35
"Egypt, Arab Rep.",EGY,,,,
El Salvador,SLV,2023.0,2896.33,88.88,75.71
Equatorial Guinea,GNQ,,,,
Eritrea,ERI,,,,
Estonia,EST,2023.0,3286.52,112.13,135.55
Eswatini,SWZ,2023.0,2573.77,58.78,58.01
Ethiopia,ETH,2023.0,2558.42,79.88,43.96
Fiji,FJI,2023.0,2938.04,87.01,94.45
Finland,FIN,2023.0,3345.6,126.14,123.78
France,FRA,2023.0,3489.55,115.99,149.13
Gabon,GAB,2023.0,2686.47,84.78,64.23
"Gambia, The",GMB,,,,
Georgia,GEO,2023.0,2999.83,90.25,91.78
Germany,DEU,2023.0,3534.54,109.22,162.28
Ghana,GHA,2023.0,3124.99,67.94,48.71
Greece,GRC,2023.0,3381.65,112.03,156.16
Grenada,GRD,2023.0,2826.85,98.43,115.26
Guatemala,GTM,2023.0,2823.17,74.39,76.97
Guinea,GIN,2023.0,2947.55,58.23,65.94
Guinea-Bissau,GNB,2023.0,2559.62,52.12,84.16
Guyana,GUY,2023.0,3318.06,114.21,77.01
Haiti,HTI,2023.0,1958.81,46.01,37.03
Honduras,HND,2023.0,2628.13,63.03,86.77
Hungary,HUN,2023.0,3549.11,93.64,152.69
Iceland,ISL,2023.0,3681.06,151.69,163.24
India,IND,2023.0,2668.5,74.57,65.74
Indonesia,IDN,2023.0,2900.3,77.8,80.35
"Iran, Islamic Rep.",IRN,,,,
Iraq,IRQ,2023.0,2763.82,74.51,59.41
Ireland,IRL,2023.0,3920.92,136.88,153.94
Israel,ISR,2023.0,3753.9,130.74,155.52
Italy,ITA,2023.0,3752.66,116.6,160.79
Jamaica,JAM,2023.0,2892.06,91.68,88.15
Japan,JPN,,,,
Jordan,JOR,2023.0,2555.98,71.1,84.47
Kazakhstan,KAZ,2023.0,3135.92,106.7,117.01
Kenya,KEN,2023.0,2146.01,55.77,48.6
Kiribati,KIR,2023.0,3125.69,83.37,130.54
"Korea, Dem. People's Rep.",PRK,,,,
"Korea, Rep.",KOR,,,,
Kuwait,KWT,2023.0,3135.58,95.5,108.72
Kyrgyz Republic,KGZ,,,,
Lao PDR,LAO,,,,
Latvia,LVA,2023.0,3342.19,110.83,151.45
Lebanon,LBN,2023.0,2827.67,79.58,89.83
Lesotho,LSO,2023.0,1872.7,50.54,42.06
Liberia,LBR,2023.0,2135.15,45.04,44.21
Libya,LBY,2023.0,2867.18,86.53,111.03
Liechtenstein,LIE,,,,
Lithuania,LTU,2023.0,3347.5,123.76,128.03
Luxembourg,LUX,2023.0,3521.85,122.55,130.33
Madagascar,MDG,2023.0,1977.96,39.53,21.84
Malawi,MWI,2023.0,2618.32,65.67,46.27
Malaysia,MYS,2023.0,2926.51,93.33,100.94
Maldives,MDV,2023.0,2671.39,97.41,78.48
Mali,MLI,,,,
Malta,MLT,2023.0,3406.62,105.84,127.55
Marshall Islands,MHL,2023.0,3322.43,119.04,161.73
Mauritania,MRT,2023.0,2909.38,83.2,74.51
Mauritius,MUS,2023.0,3255.54,104.96,112.45
Mexico,MEX,2023.0,3304.56,100.29,109.87
"Micronesia, Fed. Sts.",FSM,,,,
Moldova,MDA,,,,
