Country,Country Code,Year,"Prevalence of wasting, weight for height (% of children under 5)"
Nicaragua,NIC,2019,
Niger,NER,2019,9.8
Nigeria,NGA,2019,
North Korea,PRK,2019,
North Macedonia,MKD,2019,3.4
Norway,NOR,2019,
Oman,OMN,2019,
Pakistan,PAK,2019,
Palau,PLW,2019,
Palestine,,2019,
Panama,PAN,2019,1.1
Papua New Guinea,PNG,2019,
Paraguay,PRY,2019,
Peru,PER,2019,1.0
Philippines,PHL,2019,5.7
Poland,POL,2019,0.8
Portugal,PRT,2019,
Qatar,QAT,2019,
Romania,ROU,2019,
Russia,RUS,2019,
Rwanda,RWA,2019,
Saint Kitts and Nevis,KNA,2019,
Saint Lucia,LCA,2019,
Saint Vincent and the Grenadines,VCT,2019,
Samoa,WSM,2019,3.1
San Marino,SMR,2019,
Sao Tome and Principe,STP,2019,4.1
Saudi Arabia,SAU,2019,4.5
Senegal,SEN,2019,8.1
Serbia,SRB,2019,2.6
Seychelles,SYC,2019,
Sierra Leone,SLE,2019,5.4
Singapore,SGP,2019,
Slovakia,SVK,2019,
Slovenia,SVN,2019,
Solomon Islands,SLB,2019,
Somalia,,2019,
South Africa,ZAF,2019,
South Korea,KOR,2019,
South Sudan,SSD,2019,
Spain,ESP,2019,
Sri Lanka,LKA,2019,9.9
Sudan,SDN,2019,
Suriname,SUR,2019,
Sweden,SWE,2019,
Switzerland,CHE,2019,
Syria,SYR,2019,
Tajikistan,TJK,2019,
Tanzania,TZA,2019,
Thailand,THA,2019,7.7
Timor-Leste,TLS,2019,
Togo,TGO,2019,
Tonga,TON,2019,1.1
Trinidad and Tobago,TTO,2019,
Tunisia,TUN,2019,
Turkmenistan,TKM,2019,4.1
Tuvalu,TUV,2019,2.8
Türkiye,TUR,2019,
Uganda,UGA,2019,
Ukraine,UKR,2019,
United Arab Emirates,ARE,2019,
United Kingdom,GBR,2019,0.4
United States,USA,2019,
Uruguay,URY,2019,
Uzbekistan,UZB,2019,
Vanuatu,VUT,2019,
Vatican City,,2019,
Venezuela,VEN,2019,
Vietnam,VNM,2019,5.2
Yemen,YEM,2019,
Zambia,ZMB,2019,
Zimbabwe,ZWE,2019,2.9
