Country,Country Code,Year,"Prevalence of wasting, weight for height (% of children under 5)"
Afghanistan,AFG,2010,
Albania,ALB,2010,
Algeria,DZA,2010,
Andorra,AND,2010,
Angola,AGO,2010,
Antigua and Barbuda,ATG,2010,
Argentina,ARG,2010,
Armenia,ARM,2010,4.1
Australia,AUS,2010,
Austria,AUT,2010,
Azerbaijan,AZE,2010,
Bahamas,BHS,2010,
Bahrain,BHR,2010,
Bangladesh,BGD,2010,
Barbados,BRB,2010,
Belarus,BLR,2010,
Belgium,BEL,2010,
Belize,BLZ,2010,
Benin,BEN,2010,
Bhutan,BTN,2010,5.9
Bolivia,BOL,2010,
Bosnia and Herzegovina,BIH,2010,
Botswana,BWA,2010,
Brazil,BRA,2010,
Brunei,BRN,2010,
Bulgaria,BGR,2010,
Burkina Faso,BFA,2010,10.9
Burundi,BDI,2010,6.0
Cabo Verde,CPV,2010,
Cambodia,KHM,2010,11.0
Cameroon,CMR,2010,
Canada,CAN,2010,
Central African Republic,CAF,2010,7.4
Chad,TCD,2010,16.3
Chile,CHL,2010,
China,CHN,2010,2.3
Colombia,COL,2010,0.9
Comoros,COM,2010,
Congo,COG,2010,
Costa Rica,CRI,2010,
Croatia,HRV,2010,
Cuba,CUB,2010,
Cyprus,CYP,2010,
Czechia,CZE,2010,
Côte d'Ivoire,CIV,2010,
Democratic Republic of the Congo,COD,2010,8.5
Denmark,DNK,2010,
Djibouti,DJI,2010,
Dominica,DMA,2010,
Dominican Republic,DOM,2010,
Ecuador,ECU,2010,
Egypt,EGY,2010,
El Salvador,SLV,2010,
Equatorial Guinea,GNQ,2010,
Eritrea,ERI,2010,14.6
Estonia,EST,2010,
Eswatini,SWZ,2010,0.8
Ethiopia,ETH,2010,
Fiji,FJI,2010,
Finland,FIN,2010,
France,FRA,2010,
Gabon,GAB,2010,
Gambia,GMB,2010,9.5
Georgia,GEO,2010,
Germany,DEU,2010,
Ghana,GHA,2010,
Greece,GRC,2010,
Grenada,GRD,2010,
Guatemala,GTM,2010,
Guinea,GIN,2010,
Guinea-Bissau,GNB,2010,5.9
Guyana,GUY,2010,
Haiti,HTI,2010,
Honduras,HND,2010,
Hungary,HUN,2010,
Iceland,ISL,2010,
India,IND,2010,
Indonesia,IDN,2010,12.3
Iran,IRN,2010,4.0
Iraq,IRQ,2010,
Ireland,IRL,2010,
Israel,ISR,2010,
Italy,ITA,2010,
Jamaica,JAM,2010,4.8
Japan,JPN,2010,2.4
Jordan,JOR,2010,
Kazakhstan,KAZ,2010,4.1
Kenya,KEN,2010,
Kiribati,KIR,2010,
Kuwait,KWT,2010,2.4
Kyrgyzstan,KGZ,2010,
Laos,LAO,2010,
Latvia,LVA,2010,
Lebanon,LBN,2010,
Lesotho,LSO,2010,
Liberia,LBR,2010,4.0
Libya,LBY,2010,
Liechtenstein,LIE,2010,
Lithuania,LTU,2010,
Luxembourg,LUX,2010,
Madagascar,MDG,2010,
Malawi,MWI,2010,4.0
Malaysia,MYS,2010,
Maldives,MDV,2010,
Mali,MLI,2010,8.9
Malta,MLT,2010,
Marshall Islands,MHL,2010,
Mauritania,MRT,2010,
Mauritius,MUS,2010,
Mexico,MEX,2010,
Micronesia,FSM,2010,
Moldova,MDA,2010,
Monaco,MCO,2010,
