Country,Country Code,Year,"Prevalence of wasting, weight for height (% of children under 5)"
Afghanistan,AFG,2006,
Albania,ALB,2006,
Algeria,DZA,2006,4.1
Andorra,AND,2006,
Angola,AGO,2006,
Antigua and Barbuda,ATG,2006,
Argentina,ARG,2006,
Armenia,ARM,2006,
Australia,AUS,2006,
Austria,AUT,2006,
Azerbaijan,AZE,2006,6.8
Bahamas,BHS,2006,
Bahrain,BHR,2006,
Bangladesh,BGD,2006,11.9
Barbados,BRB,2006,
Belarus,BLR,2006,
Belgium,BEL,2006,
Belize,BLZ,2006,1.9
Benin,BEN,2006,
Bhutan,BTN,2006,
Bolivia,BOL,2006,
Bosnia and Herzegovina,BIH,2006,4.0
Botswana,BWA,2006,
Brazil,BRA,2006,
Brunei,BRN,2006,
Bulgaria,BGR,2006,
Burkina Faso,BFA,2006,
Burundi,BDI,2006,
Cabo Verde,CPV,2006,
Cambodia,KHM,2006,
Cameroon,CMR,2006,7.6
Canada,CAN,2006,
Central African Republic,CAF,2006,12.1
Chad,TCD,2006,
Chile,CHL,2006,0.5
China,CHN,2006,
Colombia,COL,2006,
Comoros,COM,2006,
Congo,COG,2006,
Costa Rica,CRI,2006,
Croatia,HRV,2006,
Cuba,CUB,2006,
Cyprus,CYP,2006,
Czechia,CZE,2006,
Côte d'Ivoire,CIV,2006,
Democratic Republic of the Congo,COD,2006,
Denmark,DNK,2006,
Djibouti,DJI,2006,
Dominica,DMA,2006,
Dominican Republic,DOM,2006,1.7
Ecuador,ECU,2006,2.1
Egypt,EGY,2006,
El Salvador,SLV,2006,
Equatorial Guinea,GNQ,2006,
Eritrea,ERI,2006,
Estonia,EST,2006,
Eswatini,SWZ,2006,2.9
Ethiopia,ETH,2006,
Fiji,FJI,2006,
Finland,FIN,2006,
France,FRA,2006,
Gabon,GAB,2006,
Gambia,GMB,2006,7.4
Georgia,GEO,2006,
Germany,DEU,2006,
Ghana,GHA,2006,6.0
Greece,GRC,2006,
Grenada,GRD,2006,
Guatemala,GTM,2006,
Guinea,GIN,2006,
Guinea-Bissau,GNB,2006,
Guyana,GUY,2006,8.3
Haiti,HTI,2006,10.2
Honduras,HND,2006,1.4
Hungary,HUN,2006,
Iceland,ISL,2006,
India,IND,2006,20.0
Indonesia,IDN,2006,
Iran,IRN,2006,
Iraq,IRQ,2006,5.8
Ireland,IRL,2006,
Israel,ISR,2006,
Italy,ITA,2006,
Jamaica,JAM,2006,3.7
Japan,JPN,2006,
Jordan,JOR,2006,
Kazakhstan,KAZ,2006,4.9
Kenya,KEN,2006,
Kiribati,KIR,2006,
Kuwait,KWT,2006,3.0
Kyrgyzstan,KGZ,2006,3.4
Laos,LAO,2006,7.4
Latvia,LVA,2006,
Lebanon,LBN,2006,
Lesotho,LSO,2006,
Liberia,LBR,2006,
Libya,LBY,2006,
Liechtenstein,LIE,2006,
Lithuania,LTU,2006,
Luxembourg,LUX,2006,
Madagascar,MDG,2006,
Malawi,MWI,2006,4.2
Malaysia,MYS,2006,13.2
Maldives,MDV,2006,
Mali,MLI,2006,15.4
Malta,MLT,2006,
Marshall Islands,MHL,2006,
Mauritania,MRT,2006,
Mauritius,MUS,2006,
Mexico,MEX,2006,2.0
Micronesia,FSM,2006,
Moldova,MDA,2006,
Monaco,MCO,2006,
Mongolia,MNG,2006,
Montenegro,MNE,2006,
Morocco,MAR,2006,
Mozambique,MOZ,2006,
Myanmar,MMR,2006,
Namibia,NAM,2006,
Nauru,NRU,2006,
Nepal,NPL,2006,12.7
Netherlands,NLD,2006,
New Zealand,NZL,2006,
Nicaragua,NIC,2006,
Niger,NER,2006,11.6
Nigeria,NGA,2006,
North Korea,PRK,2006,
North Macedonia,MKD,2006,
Norway,NOR,2006,
Oman,OMN,2006,
Pakistan,PAK,2006,
Palau,PLW,2006,
Palestine,,2006,
Panama,PAN,2006,
Papua New Guinea,PNG,2006,
Paraguay,PRY,2006,
Peru,PER,2006,
Philippines,PHL,2006,
Poland,POL,2006,
Portugal,PRT,2006,
Qatar,QAT,2006,
Romania,ROU,2006,
Russia,RUS,2006,
Rwanda,RWA,2006,
Saint Kitts and Nevis,KNA,2006,
Saint Lucia,LCA,2006,
Saint Vincent and the Grenadines,VCT,2006,
Samoa,WSM,2006,
San Marino,SMR,2006,
Sao Tome and Principe,STP,2006,
Saudi Arabia,SAU,2006,
Senegal,SEN,2006,
Serbia,SRB,2006,
