Country,Country Code,Year,"Prevalence of wasting, weight for height (% of children under 5)"
Afghanistan,AFG,2025,
Albania,ALB,2025,
Algeria,DZA,2025,
Andorra,AND,2025,
Angola,AGO,2025,
Antigua and Barbuda,ATG,2025,
Argentina,ARG,2025,
Armenia,ARM,2025,
Australia,AUS,2025,
Austria,AUT,2025,
Azerbaijan,AZE,2025,
Bahamas,BHS,2025,
Bahrain,BHR,2025,
Bangladesh,BGD,2025,
Barbados,BRB,2025,
Belarus,BLR,2025,
Belgium,BEL,2025,
Belize,BLZ,2025,
Benin,BEN,2025,
Bhutan,BTN,2025,
Bolivia,BOL,2025,
Bosnia and Herzegovina,BIH,2025,
Botswana,BWA,2025,
Brazil,BRA,2025,
Brunei,BRN,2025,
Bulgaria,BGR,2025,
Burkina Faso,BFA,2025,
Burundi,BDI,2025,
Cabo Verde,CPV,2025,
Cambodia,KHM,2025,
Cameroon,CMR,2025,
Canada,CAN,2025,
Central African Republic,CAF,2025,
Chad,TCD,2025,
Chile,CHL,2025,
China,CHN,2025,
Colombia,COL,2025,
Comoros,COM,2025,
Congo,COG,2025,
Costa Rica,CRI,2025,
Croatia,HRV,2025,
Cuba,CUB,2025,
Cyprus,CYP,2025,
Czechia,CZE,2025,
Côte d'Ivoire,CIV,2025,
Democratic Republic of the Congo,COD,2025,
Denmark,DNK,2025,
Djibouti,DJI,2025,
Dominica,DMA,2025,
Dominican Republic,DOM,2025,
Ecuador,ECU,2025,
Egypt,EGY,2025,
El Salvador,SLV,2025,
Equatorial Guinea,GNQ,2025,
Eritrea,ERI,2025,
Estonia,EST,2025,
Eswatini,SWZ,2025,
Ethiopia,ETH,2025,
Fiji,FJI,2025,
Finland,FIN,2025,
France,FRA,2025,
Gabon,GAB,2025,
Gambia,GMB,2025,
Georgia,GEO,2025,
Germany,DEU,2025,
Ghana,GHA,2025,
Greece,GRC,2025,
Grenada,GRD,2025,
Guatemala,GTM,2025,
Guinea,GIN,2025,
Guinea-Bissau,GNB,2025,
Guyana,GUY,2025,
Haiti,HTI,2025,
Honduras,HND,2025,
Hungary,HUN,2025,
Iceland,ISL,2025,
India,IND,2025,
Indonesia,IDN,2025,
Iran,IRN,2025,
Iraq,IRQ,2025,
Ireland,IRL,2025,
Israel,ISR,2025,
Italy,ITA,2025,
Jamaica,JAM,2025,
Japan,JPN,2025,
Jordan,JOR,2025,
Kazakhstan,KAZ,2025,
Kenya,KEN,2025,
Kiribati,KIR,2025,
Kuwait,KWT,2025,
Kyrgyzstan,KGZ,2025,
Laos,LAO,2025,
Latvia,LVA,2025,
Lebanon,LBN,2025,
Lesotho,LSO,2025,
Liberia,LBR,2025,
Libya,LBY,2025,
Liechtenstein,LIE,2025,
Lithuania,LTU,2025,
Luxembourg,LUX,2025,
Madagascar,MDG,2025,
Malawi,MWI,2025,
Malaysia,MYS,2025,
Maldives,MDV,2025,
Mali,MLI,2025,
Malta,MLT,2025,
Marshall Islands,MHL,2025,
Mauritania,MRT,2025,
Mauritius,MUS,2025,
Mexico,MEX,2025,
Micronesia,FSM,2025,
Moldova,MDA,2025,
Monaco,MCO,2025,
Mongolia,MNG,2025,
Montenegro,MNE,2025,
Morocco,MAR,2025,
Mozambique,MOZ,2025,
Myanmar,MMR,2025,
Namibia,NAM,2025,
Nauru,NRU,2025,
Nepal,NPL,2025,
Netherlands,NLD,2025,
New Zealand,NZL,2025,
Nicaragua,NIC,2025,
Niger,NER,2025,
Nigeria,NGA,2025,
North Korea,PRK,2025,
North Macedonia,MKD,2025,
Norway,NOR,2025,
Oman,OMN,2025,
Pakistan,PAK,2025,
Palau,PLW,2025,
Palestine,,2025,
Panama,PAN,2025,
Papua New Guinea,PNG,2025,
Paraguay,PRY,2025,
Peru,PER,2025,
Philippines,PHL,2025,
Poland,POL,2025,
Portugal,PRT,2025,
Qatar,QAT,2025,
Romania,ROU,2025,
Russia,RUS,2025,
Rwanda,RWA,2025,
Saint Kitts and Nevis,KNA,2025,
Saint Lucia,LCA,2025,
Saint Vincent and the Grenadines,VCT,2025,
Samoa,WSM,2025,
San Marino,SMR,2025,
Sao Tome and Principe,STP,2025,
Saudi Arabia,SAU,2025,
Senegal,SEN,2025,
Serbia,SRB,2025,
Seychelles,SYC,2025,
Sierra Leone,SLE,2025,
Singapore,SGP,2025,
Slovakia,SVK,2025,
Slovenia,SVN,2025,
Solomon Islands,SLB,2025,
Somalia,,2025,
South Africa,ZAF,2025,
South Korea,KOR,2025,
South Sudan,SSD,2025,
Spain,ESP,2025,
Sri Lanka,LKA,2025,
Sudan,SDN,2025,
Suriname,SUR,2025,
Sweden,SWE,2025,
Switzerland,CHE,2025,
Syria,SYR,2025,
Tajikistan,TJK,2025,
Tanzania,TZA,2025,
Thailand,THA,2025,
Timor-Leste,TLS,2025,
Togo,TGO,2025,
Tonga,TON,2025,
Trinidad and Tobago,TTO,2025,
Tunisia,TUN,2025,
Turkmenistan,TKM,2025,
Tuvalu,TUV,2025,
Türkiye,TUR,2025,
Uganda,UGA,2025,
Ukraine,UKR,2025,
United Arab Emirates,ARE,2025,
United Kingdom,GBR,2025,
United States,USA,2025,
Uruguay,URY,2025,
Uzbekistan,UZB,2025,
Vanuatu,VUT,2025,
Vatican City,,2025,
Venezuela,VEN,2025,
Vietnam,VNM,2025,
Yemen,YEM,2025,
Zambia,ZMB,2025,
Zimbabwe,ZWE,2025,
