Country Name,Country Code,Year,People using basic drinking water services (% of population)
Afghanistan,AFG,2005,38.10805422
Albania,ALB,2005,89.02119006
Algeria,DZA,2005,89.85077316
Andorra,AND,2005,100
Angola,AGO,2005,43.574344
Antigua and Barbuda,ATG,2005,97.78970558
Argentina,ARG,2005,97.42118481
Armenia,ARM,2005,96.81746641
Australia,AUS,2005,99.77814763
Austria,AUT,2005,100
Azerbaijan,AZE,2005,80.13421055
Bahamas,BHS,2005,98.36214938
Bahrain,BHR,2005,99.94897381
Bangladesh,BGD,2005,95.46158692
Barbados,BRB,2005,98.30640864
Belarus,BLR,2005,98.00092568
Belgium,BEL,2005,100
Belize,BLZ,2005,90.65232426
Benin,BEN,2005,62.95729867
Bhutan,BTN,2005,88.40842718
Bolivia,BOL,2005,84.15523569
Bosnia and Herzegovina,BIH,2005,96.95626972
Botswana,BWA,2005,76.32340897
Brazil,BRA,2005,95.09137722
Brunei,BRN,2005,99.67380634
Bulgaria,BGR,2005,99.59528573
Burkina Faso,BFA,2005,54.95404831
Burundi,BDI,2005,53.44863648
C̫te d'Ivoire,CIV,2005,70.69616203
Cabo Verde,CPV,2005,81.08172101
Cambodia,KHM,2005,59.67655915
Cameroon,CMR,2005,59.86764538
Canada,CAN,2005,99.4969698
Central African Republic,CAF,2005,53.17255389
Chad,TCD,2005,41.56621537
Chile,CHL,2005,97.01269053
China,CHN,2005,84.53338513
Colombia,COL,2005,92.45590193
Comoros,COM,2005,87.11131747
Congo,COG,2005,61.56095644
Costa Rica,CRI,2005,96.5413161
Croatia,HRV,2005,99.08479056
Cuba,CUB,2005,92.46858634
Cyprus,CYP,2005,99.86653206
Czechia,CZE,2005,98.12346534
Democratic Republic of the Congo,COD,2005,37.32047346
Denmark,DNK,2005,99.99999874
Djibouti,DJI,2005,75.39476218
Dominica,DMA,2005,94.87226887
Dominican Republic,DOM,2005,92.94424623
Ecuador,ECU,2005,87.16571902
Egypt,EGY,2005,98.64028278
El Salvador,SLV,2005,87.48597784
Equatorial Guinea,GNQ,2005,55.13171866
Eritrea,ERI,2005,48.48440745
Estonia,EST,2005,98.18360649
Eswatini,SWZ,2005,57.66027309
Ethiopia,ETH,2005,26.35761247
Fiji,FJI,2005,94.9370414
Finland,FIN,2005,99.99999711
France,FRA,2005,99.9999972
Gabon,GAB,2005,82.45191823
Gambia,GMB,2005,75.24828658
Georgia,GEO,2005,94.7414846
Germany,DEU,2005,100
Ghana,GHA,2005,70.34283807
Greece,GRC,2005,99.84259633
Grenada,GRD,2005,94.46921266
Guatemala,GTM,2005,88.80014026
Guinea,GIN,2005,53.48909999
Guinea-Bissau,GNB,2005,57.30839131
Guyana,GUY,2005,90.68662898
Haiti,HTI,2005,59.80483395
Honduras,HND,2005,88.13396109
Hungary,HUN,2005,95.45739339
Iceland,ISL,2005,99.99999859
India,IND,2005,82.86600181
Indonesia,IDN,2005,80.67395275
Iran,IRN,2005,95.18249701
Iraq,IRQ,2005,85.29329159
Ireland,IRL,2005,96.74324441
Israel,ISR,2005,99.99999628
Italy,ITA,2005,99.68562187
Jamaica,JAM,2005,93.49590481
Japan,JPN,2005,98.55453781
Jordan,JOR,2005,98.54942887
Kazakhstan,KAZ,2005,91.91189152
Kenya,KEN,2005,49.68723357
Kiribati,KIR,2005,61.35525279
Kuwait,KWT,2005,100
Kyrgyzstan,KGZ,2005,83.47694704
Laos,LAO,2005,59.04274966
Latvia,LVA,2005,98.09734372
Lebanon,LBN,2005,86.60747249
Lesotho,LSO,2005,67.22454962
Liberia,LBR,2005,65.44659928
Libya,LBY,2005,
Liechtenstein,LIE,2005,100
Lithuania,LTU,2005,91.91519217
Luxembourg,LUX,2005,99.99999814
Madagascar,MDG,2005,40.0429128
Malawi,MWI,2005,58.12273986
Malaysia,MYS,2005,96.61811338
Maldives,MDV,2005,95.68531873
Mali,MLI,2005,57.60967076
Malta,MLT,2005,100
Marshall Islands,MHL,2005,88.54551411
Mauritania,MRT,2005,48.36374963
Mauritius,MUS,2005,99.47339683
Mexico,MEX,2005,93.9295704
Micronesia,FSM,2005,91.19517536
Moldova,MDA,2005,84.6970914
Monaco,MCO,2005,100
Mongolia,MNG,2005,69.22585935
Montenegro,MNE,2005,
Morocco,MAR,2005,68.75549977
Mozambique,MOZ,2005,30.39101932
Myanmar,MMR,2005,55.23736987
Namibia,NAM,2005,78.53208765
Nauru,NRU,2005,98.33198733
Nepal,NPL,2005,82.69890669
Netherlands,NLD,2005,99.99999828
New Zealand,NZL,2005,99.99999751
Nicaragua,NIC,2005,
Niger,NER,2005,40.33089016
Nigeria,NGA,2005,52.0438578
North Korea,PRK,2005,98.86547417
North Macedonia,MKD,2005,96.85864129
Norway,NOR,2005,100
Oman,OMN,2005,86.06027558
Pakistan,PAK,2005,87.98582271
Palau,PLW,2005,99.37698133
Palestine,PSE,2005,94.82775437
Panama,PAN,2005,91.06279784
Papua New Guinea,PNG,2005,31.19758399
Paraguay,PRY,2005,82.74704659
Peru,PER,2005,84.09101407
Philippines,PHL,2005,88.36783114
Poland,POL,2005,98.23908245
Portugal,PRT,2005,99.17824862
Qatar,QAT,2005,99.90292479
Romania,ROU,2005,99.99999856
Russia,RUS,2005,96.47170918
Rwanda,RWA,2005,50.82476075
Saint Kitts and Nevis,KNA,2005,98.51218641
Saint Lucia,LCA,2005,91.50530698
Saint Vincent and the Grenadines,VCT,2005,96.23932711
Samoa,WSM,2005,87.49689822
San Marino,SMR,2005,100
Sao Tome and Principe,STP,2005,71.49903039
Saudi Arabia,SAU,2005,99.07068662
Senegal,SEN,2005,65.64540334
Serbia,SRB,2005,89.67200827
Seychelles,SYC,2005,94.43326636
Sierra Leone,SLE,2005,45.78672415
Singapore,SGP,2005,100
Slovakia,SVK,2005,97.96681987
