Country Name,Country Code,Year,People using basic drinking water services (% of population)
Afghanistan,AFG,2021,74.554526
Albania,ALB,2021,95.08151505
Algeria,DZA,2021,92.27323186
Andorra,AND,2021,100
Angola,AGO,2021,65.71625772
Antigua and Barbuda,ATG,2021,98.92262506
Argentina,ARG,2021,
Armenia,ARM,2021,99.45347646
Australia,AUS,2021,99.96977327
Austria,AUT,2021,100
Azerbaijan,AZE,2021,95.09774471
Bahamas,BHS,2021,
Bahrain,BHR,2021,99.91989902
Bangladesh,BGD,2021,98.43794366
Barbados,BRB,2021,99.06749851
Belarus,BLR,2021,99.3932172
Belgium,BEL,2021,99.99999876
Belize,BLZ,2021,94.61481631
Benin,BEN,2021,68.63812455
Bhutan,BTN,2021,99.19334873
Bolivia,BOL,2021,92.10560669
Bosnia and Herzegovina,BIH,2021,96.11884078
Botswana,BWA,2021,91.61103103
Brazil,BRA,2021,99.42726488
Brunei,BRN,2021,100
Bulgaria,BGR,2021,99.23632274
Burkina Faso,BFA,2021,50.07527195
Burundi,BDI,2021,65.04930339
C̫te d'Ivoire,CIV,2021,76.32298476
Cabo Verde,CPV,2021,89.24751251
Cambodia,KHM,2021,79.7640004
Cameroon,CMR,2021,69.7871228
Canada,CAN,2021,98.42716624
Central African Republic,CAF,2021,36.19738179
Chad,TCD,2021,51.89910248
Chile,CHL,2021,98.77802121
China,CHN,2021,94.63297353
Colombia,COL,2021,96.52230814
Comoros,COM,2021,85.36818287
Congo,COG,2021,73.48842117
Costa Rica,CRI,2021,99.81187151
Croatia,HRV,2021,99.90226211
Cuba,CUB,2021,94.77640825
Cyprus,CYP,2021,99.73737214
Czechia,CZE,2021,98.73262358
Democratic Republic of the Congo,COD,2021,35.32362078
Denmark,DNK,2021,100
Djibouti,DJI,2021,78.96362924
Dominica,DMA,2021,96.68134697
Dominican Republic,DOM,2021,97.30547395
Ecuador,ECU,2021,91.66796885
Egypt,EGY,2021,97.50136756
El Salvador,SLV,2021,90.42138893
Equatorial Guinea,GNQ,2021,
Eritrea,ERI,2021,
Estonia,EST,2021,99.99999947
Eswatini,SWZ,2021,76.72606946
Ethiopia,ETH,2021,51.15477501
Fiji,FJI,2021,95.45346349
Finland,FIN,2021,99.99999692
France,FRA,2021,100
Gabon,GAB,2021,87.99547187
Gambia,GMB,2021,85.69631167
Georgia,GEO,2021,96.87791179
Germany,DEU,2021,99.99999884
Ghana,GHA,2021,86.84125275
Greece,GRC,2021,100
Grenada,GRD,2021,
Guatemala,GTM,2021,92.53466554
Guinea,GIN,2021,70.74435606
Guinea-Bissau,GNB,2021,61.55108356
Guyana,GUY,2021,95.34883915
Haiti,HTI,2021,71.22168532
Honduras,HND,2021,94.69294506
Hungary,HUN,2021,99.97225113
