Country Name,Country Code,Year,People using basic drinking water services (% of population)
Afghanistan,AFG,2007,42.42949556
Albania,ALB,2007,90.00418963
Algeria,DZA,2007,90.17674395
Andorra,AND,2007,100
Angola,AGO,2007,46.46865468
Antigua and Barbuda,ATG,2007,97.92887592
Argentina,ARG,2007,97.84036032
Armenia,ARM,2007,97.29609302
Australia,AUS,2007,99.82124808
Austria,AUT,2007,99.99999885
Azerbaijan,AZE,2007,81.97438029
Bahamas,BHS,2007,98.47877174
Bahrain,BHR,2007,99.94509717
Bangladesh,BGD,2007,95.86936138
Barbados,BRB,2007,98.40154488
Belarus,BLR,2007,98.16161484
Belgium,BEL,2007,100
Belize,BLZ,2007,91.14453693
Benin,BEN,2007,63.72200338
Bhutan,BTN,2007,90.10326759
Bolivia,BOL,2007,85.26916927
Bosnia and Herzegovina,BIH,2007,96.76134739
Botswana,BWA,2007,78.81763791
Brazil,BRA,2007,95.66195565
Brunei,BRN,2007,99.7189198
Bulgaria,BGR,2007,99.54245638
Burkina Faso,BFA,2007,54.47751225
Burundi,BDI,2007,54.88641295
C̫te d'Ivoire,CIV,2007,71.43700734
Cabo Verde,CPV,2007,81.92092917
Cambodia,KHM,2007,62.36241727
Cameroon,CMR,2007,61.35652724
Canada,CAN,2007,99.36645059
Central African Republic,CAF,2007,50.91298615
Chad,TCD,2007,42.75939122
Chile,CHL,2007,97.24233874
China,CHN,2007,86.15917315
Colombia,COL,2007,93.03321134
Comoros,COM,2007,86.89642087
Congo,COG,2007,63.44091035
Costa Rica,CRI,2007,97.18120605
Croatia,HRV,2007,99.29343923
Cuba,CUB,2007,92.72062679
Cyprus,CYP,2007,99.85069168
Czechia,CZE,2007,98.19990976
Democratic Republic of the Congo,COD,2007,37.17622821
Denmark,DNK,2007,99.99999767
Djibouti,DJI,2007,75.82595769
Dominica,DMA,2007,95.11092721
Dominican Republic,DOM,2007,93.68018221
Ecuador,ECU,2007,87.79220837
Egypt,EGY,2007,98.49888996
El Salvador,SLV,2007,84.84123972
Equatorial Guinea,GNQ,2007,57.11857058
Eritrea,ERI,2007,49.24695321
Estonia,EST,2007,98.47691623
Eswatini,SWZ,2007,59.83256783
Ethiopia,ETH,2007,29.37846173
Fiji,FJI,2007,94.98254986
Finland,FIN,2007,99.99999695
France,FRA,2007,99.99999916
Gabon,GAB,2007,83.31557019
Gambia,GMB,2007,76.59349285
Georgia,GEO,2007,95.0243626
Germany,DEU,2007,99.99999879
Ghana,GHA,2007,72.38928208
Greece,GRC,2007,99.8745141
Grenada,GRD,2007,94.9338426
Guatemala,GTM,2007,89.2940022
Guinea,GIN,2007,54.97229521
Guinea-Bissau,GNB,2007,58.05351268
Guyana,GUY,2007,91.23571449
Haiti,HTI,2007,61.42851734
Honduras,HND,2007,89.04057387
Hungary,HUN,2007,96.08149518
Iceland,ISL,2007,100
India,IND,2007,84.25534394
Indonesia,IDN,2007,82.56148306
Iran,IRN,2007,95.5354864
