Country Name,Country Code,Year,Poverty_Rate(daily income < 3USD)
Afghanistan,AFG,2020,
Albania,ALB,2020,0.3
Algeria,DZA,2020,
Andorra,AND,2020,
Angola,AGO,2020,
Antigua and Barbuda,ATG,2020,
Argentina,ARG,2020,2.2
Armenia,ARM,2020,1.5
Australia,AUS,2020,1
Austria,AUT,2020,0.7
Azerbaijan,AZE,2020,
Bahamas,BHS,2020,
Bahrain,BHR,2020,
Bangladesh,BGD,2020,
Barbados,BRB,2020,
Belarus,BLR,2020,0
Belgium,BEL,2020,0.1
Belize,BLZ,2020,
Benin,BEN,2020,
Bhutan,BTN,2020,
Bolivia,BOL,2020,4.2
Bosnia and Herzegovina,BIH,2020,
Botswana,BWA,2020,
Brazil,BRA,2020,2.8
Brunei,BRN,2020,
Bulgaria,BGR,2020,0.7
Burkina Faso,BFA,2020,
Burundi,BDI,2020,74.2
Cabo Verde,CPV,2020,
Cambodia,KHM,2020,
Cameroon,CMR,2020,
Canada,CAN,2020,0.2
Central African Republic,CAF,2020,
Chad,TCD,2020,
Chile,CHL,2020,1.7
China,CHN,2020,0
Colombia,COL,2020,13.5
Comoros,COM,2020,
Congo,COG,2020,
Costa Rica,CRI,2020,3.4
Croatia,HRV,2020,0.4
Cuba,CUB,2020,
Cyprus,CYP,2020,0
Czechia,CZE,2020,0
Côte d'Ivoire,CIV,2020,
Democratic Republic of the Congo,COD,2020,85.3
Denmark,DNK,2020,0.2
Djibouti,DJI,2020,
Dominica,DMA,2020,
Dominican Republic,DOM,2020,1.3
Ecuador,ECU,2020,8.4
Egypt,EGY,2020,
El Salvador,SLV,2020,
Equatorial Guinea,GNQ,2020,
Eritrea,ERI,2020,
Estonia,EST,2020,0.4
Eswatini,SWZ,2020,
Ethiopia,ETH,2020,
Fiji,FJI,2020,
Finland,FIN,2020,0
France,FRA,2020,0.1
Gabon,GAB,2020,
Gambia,GMB,2020,22
Georgia,GEO,2020,12
Germany,DEU,2020,0.2
Ghana,GHA,2020,
Greece,GRC,2020,1.1
Grenada,GRD,2020,
Guatemala,GTM,2020,
Guinea,GIN,2020,
Guinea-Bissau,GNB,2020,
Guyana,GUY,2020,
Haiti,HTI,2020,
Honduras,HND,2020,
Hungary,HUN,2020,
Iceland,ISL,2020,
India,IND,2020,
Indonesia,IDN,2020,9.8
Iran,IRN,2020,4.6
Iraq,IRQ,2020,
Ireland,IRL,2020,0.2
Israel,ISR,2020,0.7
Italy,ITA,2020,0.9
Jamaica,JAM,2020,
Japan,JPN,2020,1.2
Jordan,JOR,2020,
Kazakhstan,KAZ,2020,0
Kenya,KEN,2020,44.4
Kiribati,KIR,2020,
Kuwait,KWT,2020,
Kyrgyzstan,KGZ,2020,9.4
Laos,LAO,2020,
Latvia,LVA,2020,0.5
Lebanon,LBN,2020,
Lesotho,LSO,2020,
Liberia,LBR,2020,
Libya,LBY,2020,
Liechtenstein,LIE,2020,
Lithuania,LTU,2020,0.5
Luxembourg,LUX,2020,0
Madagascar,MDG,2020,
Malawi,MWI,2020,
Malaysia,MYS,2020,
Maldives,MDV,2020,
Mali,MLI,2020,
Malta,MLT,2020,0.4
Marshall Islands,MHL,2020,
Mauritania,MRT,2020,
Mauritius,MUS,2020,
Mexico,MEX,2020,4.3
Micronesia,FSM,2020,
Moldova,MDA,2020,0
Monaco,MCO,2020,
Mongolia,MNG,2020,
Montenegro,MNE,2020,2.2
Morocco,MAR,2020,
Mozambique,MOZ,2020,
Myanmar,MMR,2020,
Namibia,NAM,2020,
Nauru,NRU,2020,
Nepal,NPL,2020,
Netherlands,NLD,2020,0
New Zealand,NZL,2020,
Nicaragua,NIC,2020,
Niger,NER,2020,
Nigeria,NGA,2020,
North Korea,PRK,2020,
North Macedonia,MKD,2020,
Norway,NOR,2020,0.3
Oman,OMN,2020,
Pakistan,PAK,2020,
Palau,PLW,2020,
Palestine,PSE,2020,
Panama,PAN,2020,
Papua New Guinea,PNG,2020,
Paraguay,PRY,2020,2.6
Peru,PER,2020,10.3
Philippines,PHL,2020,
Poland,POL,2020,0.2
Portugal,PRT,2020,0.6
Qatar,QAT,2020,
Romania,ROU,2020,2.4
Russia,RUS,2020,0.1
Rwanda,RWA,2020,
Saint Kitts and Nevis,KNA,2020,
Saint Lucia,LCA,2020,
Saint Vincent and the Grenadines,VCT,2020,
Samoa,WSM,2020,
San Marino,SMR,2020,
Sao Tome and Principe,STP,2020,
Saudi Arabia,SAU,2020,
Senegal,SEN,2020,
Serbia,SRB,2020,2
Seychelles,SYC,2020,
Sierra Leone,SLE,2020,
Singapore,SGP,2020,
Slovakia,SVK,2020,0.3
Slovenia,SVN,2020,0
Solomon Islands,SLB,2020,
Somalia,SOM,2020,
South Africa,ZAF,2020,
South Korea,KOR,2020,0
South Sudan,SSD,2020,
Spain,ESP,2020,1.1
Sri Lanka,LKA,2020,
Sudan,SDN,2020,
Suriname,SUR,2020,
Sweden,SWE,2020,0.5
Switzerland,CHE,2020,0.1
Syria,SYR,2020,
Tajikistan,TJK,2020,
Tanzania,TZA,2020,
Thailand,THA,2020,0.1
Timor-Leste,TLS,2020,
Togo,TGO,2020,
Tonga,TON,2020,
Trinidad and Tobago,TTO,2020,
Tunisia,TUN,2020,
Turkmenistan,TKM,2020,
Tuvalu,TUV,2020,
Türkiye,TUR,2020,1.1
Uganda,UGA,2020,
Ukraine,UKR,2020,0
United Arab Emirates,ARE,2020,
United Kingdom,GBR,2020,0.5
United States,USA,2020,0.5
Uruguay,URY,2020,0.3
Uzbekistan,UZB,2020,
Vanuatu,VUT,2020,
Vatican City,VAT,2020,
Venezuela,VEN,2020,
Vietnam,VNM,2020,1.3
Yemen,YEM,2020,
Zambia,ZMB,2020,
Zimbabwe,ZWE,2020,
